,Company,Contact,Country,Price,Item
0,Classy Chic,95245234051,Turkey,45291₽,distribution
1,Chic Couture,73884242846,Sweden,33622₽,indication
2,Classy Chic,43906214132,Japan,27379₽,love
3,Clipper Cuts,96851278312,Malta,13508₽,emphasis
4,Fashion Fusion,58322758526,Samoa,92884₽,stranger
5,Glamour Galore,10594715434,"Micronesia, Federated States of",13854₽,explanation
6,Salon Suites,16514356628,Solomon Islands,76743₽,employment
7,Modish Mannequins,88394834107,Argentina,96792₽,oven
8,Body Bliss,14286492126,The Bahamas,10891₽,preparation
9,Glow Getter,29881452470,Laos,66268₽,pizza
10,Body Bliss,66214880454,Russia,12854₽,nature
11,Trendy Threads,48177788044,Seychelles,88044₽,woman
12,Lash Lounge,83717957221,Bosnia and Herzegovina,78068₽,ladder
13,Modish Mannequins,40174747364,Qatar,14506₽,definition
14,Crisp Creations,37217743205,Argentina,76271₽,midnight
15,Sophisticated Sewing,7713496820,Guinea,38195₽,county
16,Fashion Forward,73424366690,Benin,15642₽,map
17,Posh Patterns,79328677032,Seychelles,86691₽,breath
18,Chic Boutique,97111984364,"Micronesia, Federated States of",60660₽,hat
19,Clipper Cuts,4665423380,Seychelles,15555₽,agreement
20,Fashion Forward,2316102350,Central African Republic,39347₽,drawer
21,Refined Rags,56781161645,Austria,42165₽,assumption
22,Brow Boosters,7069367623,Kazakhstan,15978₽,distribution
23,Trendsetting Tailors,90114446494,Luxembourg,83934₽,truth
24,Refined Rags,62345431467,"Korea, North",19799₽,signature
25,Chic Couture,39844033861,Ireland,36101₽,data
26,Classy Chic,14333027654,"Congo, Democratic Republic of the",56629₽,community
27,Makeup Maven,99831213448,Oman,63463₽,breath
28,Body Bliss,9794367025,Equatorial Guinea,84641₽,employee
29,Elite Elegance,3486119776,Kenya,68315₽,indication
30,Crisp Creations,14238538629,Lithuania,68392₽,office
31,Chic Couture,7320771953,Philippines,93124₽,agreement
32,Haute Hues,12302125632,Honduras,71408₽,library
33,Smart Styles,41672890714,Sao Tome and Principe,55747₽,maintenance
34,Haute Hues,25544031439,Chile,32659₽,breath
35,Posh Patterns,21664298920,Dominican Republic,26748₽,mixture
36,Fine Fabrics,472372941,Germany,77008₽,elevator
37,Makeup Maven,92379347857,Senegal,31877₽,thanks
38,Stellar Stitches,56573116278,Dominica,52671₽,administration
39,Modish Mannequins,752241920,Morocco,99255₽,cigarette
40,Sleek Styles,52103240185,Saint Vincent and the Grenadines,74601₽,emphasis
41,Urban Upmarket,51134555926,Nauru,26362₽,stranger
42,Glow Getter,87446297547,Austria,76108₽,development
43,Fine Fabrics,11163667635,Libya,94902₽,refrigerator
44,Brow Boosters,31663732502,Kosovo,10642₽,secretary
45,Nail Nook,31667363589,Mozambique,93236₽,midnight
46,Classy Chic,6455825378,Ecuador,93107₽,awareness
47,Beauty Bar,58303794166,Cote d'Ivoire,54182₽,height
48,Sleek Styles,46296376289,Ghana,88535₽,marriage
49,Refined Rags,35341501991,Indonesia,28432₽,tea
50,Classy Collections,1138095569,Japan,44767₽,description
51,Modish Mannequins,28113035294,Sao Tome and Principe,37229₽,library
52,Beauty Bar,2938835593,Barbados,16301₽,user
53,Crisp Creations,60654191447,Italy,29394₽,development
54,Clipper Cuts,77127134973,Tanzania,95102₽,preparation
55,Salon Suites,7121512076,Ghana,56536₽,assumption
56,Classy Collections,69498298958,"Micronesia, Federated States of",17743₽,perception
57,Glamour Galore,83104434758,Saint Vincent and the Grenadines,40485₽,opinion
58,Dapper Designs,61199436942,Sweden,44717₽,buyer
